age,description,review,is_recommended,rating_star,review_date,usage_period,purchase_point
19 - 24,"Combination, Medium, Neutral","Selama penggunaan suncreen wardah seri terbaru ini wajah menjadi terjaga dari sinar matahari, karena melindungi perlindungan kulit lebih dengan spf 35, dan produk ini mengahasilkan hasil akhirnya yang merata dan mudah di bland sehingga ringan di wajah.",yes,5,05/05/24, 1 week - 1 month, Official Brand Store
18 and Under,",18 and Under","Setelah Saya emakai kulit saya menjadi terlindungi dari sinar matahari, sehingga saya ketika beraktfitas diluar merasa nyaman tidak takut wajah rusak Pemakaian ini sangat cocok untuk di gunakan sehari-hari jadi jangan ragu untuk beli Pruduknya ",yes,5,05/05/24, 1 week - 1 month, Instagram
19 - 24,"Dry, Medium Light, Neutral",Bagus bangettt karena udh coba produk lain justru makin ngerasa kalo wardah tuh paling enak dan bagussssss banget! tekstur nya yang bikin gampang di apply dan cepat meresap ke kulit terus gampang dipakenya,yes,5,05/05/24, 6 months - 1 year, Shopee
19 - 24,"Combination, Medium, Neutral","Aku pake ini dari mulai smp, aku pake ini karena dari beberapa produk yang sunscreen yang di temuin ini palibg cocok dimuka aku dan aku sampe sekarang pake ini seneng banget di kulit lembab dan ga bikin beruntusan kalo white case ga terlalu lama jadi cocok bgt buat dipake sehari hari juga",yes,5,05/05/24, Less than 1 week, Alfamart
19 - 24,"Combination, Medium Light, Cool","Menurutku ss ini cukup bagus sih dengan harga yang terjangkau, terasa ringan juga saat dipake dan muda untuk di blend tapi kurangnya adalah mudah luntur apalagi saat keringatan dan kadang² bikin mata perih, tp cukup bagus karena berasa melindungi kulit",yes,4,05/05/24, More than 1 year, Shopee
19 - 24,"Dry, Medium Light, Neutral",Produk wardah skincare maupun make up nya selalu the best dari dulu. Menurut aku skincare nya tuh tekturnya lembut sehingga nyaman dipakainya dan make up nya sealu bikin kita jadi flawles dan pigment banget ke muka kitanya apalagi produk dari eye shafownya.,yes,5,05/05/24, 1 month - 3 months, XBeauty by Female Daily
25 - 29,"Dry, Medium, Neutral",Bagus banget dan gampang buat di blend nya! Apalagi udah ada Vit C yang bagus banget buat kulit. Spf 35 udah cukup banget sih buat digunain sehari hari✨Sangat recommend buat yang nyari sunscreen terjangkau dengan kualitas yang mantulll banget!,yes,4,05/05/24, 1 month - 3 months, XBeauty by Female Daily
25 - 29,"Dry, Medium Light, Warm","Memakai Sunscreen ini nyaman di wajah tidak berat di wajah, harga terjangkau di dompet, pemakainnya cukup lama dan awet juga. sangat bermanfaat sekali ketika kita sedang di luar ruangan yg secara langsung terkena paparan sinar matahari.",yes,5,05/05/24, Less than 1 week, Shopee
30 - 34,",30 - 34","Wardah uv protect ini super banget dehSetiap hari, gw selalu pake wardah iniUntuk perlindungan maksimal kulit dari paparan sinar matahariTekturnya ringan banget dan tentunya halal yaaaJd gak perlu takut untuk kandungan di dalamnyaYukk dicoba",yes,5,05/05/24, 3 months - 6 months, Brand Website
25 - 29,"Combination, Medium Dark, Neutral","Agak pemilih untuk sunscreen karena umumnya bikin muka ku yang berminyak makin berminyak. Agak ragu waktu mau coba pakai wardah sunshield ini, tapi setelah dicoba ternyata engga buat kulit jadi berminyak. Teksturnya ga terlalu kental dan mudah di apply ke wajah.",yes,5,05/05/24, 6 months - 1 year, Shopee
19 - 24,"Dry, Medium Light, Neutral","Tekstur nya yang gel bikin sunscreen ini jadi cepet menyerap ke dalam kulit, pake ini udah lama dan suka banget! Harganya sangat ramah dikantong. Selain itu, sunscreen ini jg ga bikin kusam dan berat, jadi bisa reapply terus tanpa kerasa gerah",yes,5,05/05/24, Less than 1 week, Shopee
19 - 24,"Combination, Medium Dark, Warm","Suka banget sama tekstur nya yang nyaman di kulit aku, jadi aku ga takut panas-panasan, bentuk gel tapi cepat menyerap jadi ga perlu lama buat melindungi kulit wajah dengan sunscrean idaman aku ini , yuk yang lain coba pakai sunscrean wardah udah halal lagi",yes,5,05/05/24, More than 1 year, Tiktok Shop
19 - 24,"Normal, Medium Light, Neutral","Serius ga boong ss nya enak banget bisa dijadikan mousturizer juga, menyerap dikulit dan tidak ada white case, tidak lengket, sangat gampang diaplikasikan, mudah dibawa, harga terjangkau banget. Wajib stok yang banyak juga awet banget dan gak gampang ha js",yes,5,05/05/24, 6 months - 1 year, Shopee
30 - 34,"Combination, Medium, Neutral","Sunscreen paling ga rewel di kulit ku dan suami , formula nya ringan, gak lengket dan cepat nyerap, wangi nya juga enak gak berlebihan, untuk formulasi baru aku ga ngeh bedanya apa sama yg lama ,tapi so far ok sih , recommended ! ,tp kalo bisa SPF nya lebih tinggi",yes,5,05/05/24, More than 1 year, Tiktok
19 - 24,"Oily, Medium Light, Neutral","Kulit lebih sehat setelah memakai produk dari wardah, memang tidak perlu diragukan lagi produk dari wadah. Aku pakai yang spf 35 cocok gak bikin whitecase dan merah-merah dimuka, spfnya juga tidak terlalu tinggi dan tidak terlalu rendah.",yes,5,05/05/24, Less than 1 week, Female Daily Studio
25 - 29,"Combination, Medium, Neutral","Sumpah enak bisa dijadikan pengganti mousturizer juga , dipake unisex sama pasangan juga bisa . Menyerap kulit tidak ada whitecase , tidak lengket sangat gampang diaplikasikan , mudah dibawa , harganya terjangkau banget . Wajib stock yg banyak juga awet bangett ga gampang abis ",yes,5,05/05/24, 1 week - 1 month, Shopee
19 - 24,"Combination, Medium Light, Neutral","Sunscreen pertama yang aku pakai dan jatuh cinta banget dulu suncreen ini perih di mata tapi sekarang udah gak perih lagi keren banget sama inggredient nya nyaman banget di wajah di bland nya juga mudah banget ,kalian wajib coba yuk samaan kaya aku ",yes,5,05/05/24, More than 1 year, Shopee
19 - 24,"Normal, Medium Light, Neutral",sunscrean wardah ini aku pake dah lebih dari 1tahunan karena emang sebagus dan secocok itu di aku ga witecase juga di wajah terus awet banget juga kalo dipake seharian diluar dan terkena paparan sinar matahari membantuu aku banget karena sehari hari aku dilapangan,yes,5,05/05/24, More than 1 year, Shopee
45 and Above,"Oily, Medium Light, Warm","Enak banget dikulit muka lembut dan gak berasa panas walaupun harus berada dibawah terik matahari, harganya murah dibanding peoduk lain yg sejenis kualitas tidak jauh beda dengan harga yang lebih mahal. Dipakai setiap haripun kulit muka tetap terasa nyaman",yes,5,05/05/24, 1 week - 1 month, Shopee
19 - 24,"Combination, Medium Dark, Neutral","Tekturnya ringan sih sebenernya, lumayan cepet nyerapnya. Tapi minusnya di aku muka keliatan berminyak dan lumayan kusam juga. Selain itu kalo ga sengaja kena mata perih banget. Aku pernah nangis waktu pake produk ini dan perih banget kerasanya ",yes,4,05/05/24, 3 months - 6 months, Alfamart
19 - 24,"Normal, Light, Neutral","Bagus untuk tekturnya ringan di kulit aku, cepat ngebland juga, tahan lama kalo kena sinar matahari, harga mahasiswa khusus buat aku sebagai pelajar, lama pemakaian biasanya aku 6 jam itu buat aku normal aromanya ga yang wangi banget, natural saja",yes,5,05/05/24, Less than 1 week, Female Daily Studio Store
